id,name,state,zipcode,USNewsRank
223,Bridgewater State College,MA,02324-,
224,Alabama-Univ. of   Huntsville,AL,35899-,
225,Wisconsin  -Univ. of Whitewater,WI,53190-,
226,Beloit College (55),WI,53511-,
227,New Mexico Inst. of Mining & Tech,NM,87801,
228,Richard Stockton College of New Jersey,NJ,08205-,
229,St. Benedict & St. John's Univ.-College of ,MN,56374-,
230,Vassar College,NY,12601-,
231,Bucknell Univ.,PA,17837-,
232,St. Mary's College of Maryland,MD,20686-,
233,West Virginia Univ.,WV,26506-,
234,Idaho-Univ. of ,ID,83844-,
235,Claremont McKenna College,CA,91711-,
236,Santa Clara Univ.,CA,95053-,
237,Lock Haven Univ.,PA,17745,
238,Wisconsin-Univ. of   Stevens Point,WI,54481-,
239,Nebraska-Univ. of   Lincoln,NE,68588-,
240,Indiana Univ. of Pennsylvania,PA,15705,
241,Shippensburg Univ.,PA,17257,
242,Rose-Hulman Univ.,IN,47803-,
243,Dickinson College,PA,17013-,
244,Furman Univ.,SC,29613-,
245,Oberlin College (23),OH,44074-,
246,Weber State Univ.,UT,84408-,
247,New Mexico-Univ. of ,NM,87131-,
248,Maine-Univ. of ,ME,04469-,
249,Wheaton College (55),IL,60187,
250,Ohio Univ.,OH,45701-,
251,Oakland Univ. (MI),MI,48309-,
252,Gordon College - Wenham,MA,1984,
253,West Florida-Univ. of ,FL,32514,
254,Utah Valley Univ.,UT,84058,
255,Millersville Univ.,PA,17551-,
256,Mary Washington-Univ. of ,VA,22401-,
257,Lebanon Valley College,PA,17003-,
258,Lehigh Univ.,PA,18015-,
259,Davidson College,NC,28036-,
260,Nevada-Univ. of   Las Vegas,NV,89154-,
261,Montana-Univ. of,MT,59812,
262,Cal State Univ.-Sacramento,CA,95819,
263,Clark Univ.,MA,01610-,
264,George Washington Univ.,DC,20052-,
265,North Carolina-Univ. of   Wilmington,NC,28403-,
266,Eastern Kentucky Univ.,KY,40475-,
267,Sonoma State Univ.,CA,94928-,
268,Fort Hays State Univ.,KS,67601,
269,Clarion Univ. of PA,PA,16214-,
270,Montana State Univ.   Bozeman,MT,59717-,
271,Missouri Univ. of S&T (Rolla),MO,65409,
272,Central Arkansas-Univ. of,AR,72035,
273,West Virginia Wesleyan,WV,26201-,
274,Temple Univ.,PA,19122-,
275,Eastern Michigan Univ.,MI,48197-,
276,St. Thomas-Univ. of   St. Paul,MN,55105-,
277,Augustana College (Illinois) (88),IL,61201-,
278,Xavier Univ. (Cincinnati   OH),OH,45207,
279,Mississippi State Univ.,MS,39762-,
280,Kent State Univ.,OH,44242-,
281,Grand Valley State Univ.,MI,49401-,
282,Marquette Univ.,WI,53201-,
283,Augsburg College,MN,55454-,
284,West Georgia-Univ. of ,GA,30118,
285,American Univ.,DC,20016-,
286,Baldwin Wallace College,OH,44017-,
287,Montclair State Univ.,NJ,7043,
288,DePaul Univ.,IL,60614-,
289,Southeast Missouri State Univ.,MO,63701,
290,Hampden-Sydney College (111),VA,23943-,
291,Whitman College,WA,99362-,
292,Delaware State Univ.,DE,19901,
293,Haverford College,PA,19041-,
294,Cincinnati-Univ. of ,OH,45221-,
295,MA-Univ. of   Dartmouth,MA,02747-,
296,Frostburg State Univ.,MD,21532-,
297,Old Dominion Univ.,VA,23529-,
298,Radford Univ.,VA,24142-,
299,Presbyterian College,SC,29325-,
300,Oklahoma-Univ. of ,OK,73019-,
301,Bryn Mawr Univ.,PA,19010-,
302,Kentucky-Univ. of ,KY,40506-,
303,Tulane Univ.,LA,70118-,
304,Embry-Riddle Aeronautical Univ. (should be Arizona),AZ,86301-,
305,SUNY U at Plattsburgh State,NY,12901,
306,Memphis-Univ. of ,TN,38152-,
307,Albion College (111),MI,49224-,
308,Rutgers Univ. - Newark,NJ,7102,
309,Illinois College,IL,62650,
310,Cleveland State Univ.,OH,44115-,
311,Northern Iowa-Univ. of,IA,50614-,
312,Cal State Univ.-East Bay,CA,94542-,
313,Georgia College,GA,31061,
314,Morehead State Univ. (KY),KY,40351,
315,St. Cloud State Univ. (MN),MN,56301,
316,Wellesley College,MA,02181-,
317,Dillard Univ.,LA,70122-,
318,Cal State Univ.-Northridge,CA,91330,
319,Grove City College,PA,16127-,
320,DePauw Univ. (51),IN,46135-,
321,Michigan-Univ. of   Dearborn,MI,48128-,
322,Idaho State Univ.,ID,83209-,
323,Northern Kentucky Univ.,KY,41099,
324,Dallas-Univ. of ,TX,75062,
325,Humboldt State ,CA,95521,
326,Seton Hall Univ.,NJ,07079-,
327,Muhlenberg College,PA,18104-,
328,Oklahoma State Univ.,OK,74078-,
329,Willamette Univ. (59),OR,97301-,
330,Bridgewater College (VA),VA,22812,
331,Bard College,NY,12504-,
332,Westmont College,CA,93108-,
333,Point Loma Nazarene Univ.,CA,92106,
334,Duquesne Univ.,PA,15282,
335,Tarleton State Univ.,TX,76402,
336,Swarthmore College,PA,19081-,
337,Union College (41),NY,12308-,
338,Seattle Univ.,WA,98122-,
339,Hofstra Univ.,NY,11549,
340,Southern Mississippi-Univ. of,MS,39406,
341,Henderson State Univ.,AR,71999,
342,Knox College (75),IL,61401,
343,New Jersey Institute of Technology,NJ,07102-,
344,Georgia Southern Univ.,GA,30460-,
345,Bluffton Univ.,OH,45817-,
346,Calvin College,MI,49546-,
347,Coe College,IA,52402-,
348,Lamar Univ.,TX,77710-,
349,Hampton Univ.,VA,23668,
350,Kenneswa State Univ.- Marietta campus,GA,30060,
351,Kenneswa State Univ. - Kennesaw Campus,GA,30060,
352,Kansas State Univ.,KS,66506-,
353,San Francisco-Univ. of ,CA,94117-,
354,Henry Ford Community College,MI,48128-,
355,Western Michigan Univ.,MI,49008-,
356,Northern Illinois Univ.,IL,60115-,
357,Drury Univ.,MO,65802-,
358,Cal State Univ.-Fullerton,CA,92834,
359,Villanova Univ.,PA,19085-,
360,Houghton College,NY,14744,
361,Kenyon College (32),OH,43022-,
362,Valparaiso Univ.,IN,46383-,
363,Luther College (81),IA,52101-,
364,Cal State Univ.-Chico,CA,95929-,
365,CUNY   Staten Island-College of ,NY,10301-,
366,Ursinus College,PA,19426-,
367,Wabash College,IN,47933-,
368,Minnesota State Univ.-Moorhead,MN,56563-,
369,West Chester (PA),PA,19383,
370,Rhodes College,TN,38112-,
371,Puerto Rico-Univ. of   Rio Piedras,Puerto Rico,931,
372,SUNY Coll. at Fredonia,NY,14063,
373,Indiana-Purdue at Indianapolis (IUPUI),IN,46202,
374,Creighton Univ.,NE,68178,
375,North Carolina A&T State Univ.,NC,27411-,
376,St. Michael's College (VT),VT,5439,
377,St. Anselm College,NH,03102-,
378,San Diego State Univ.,CA,92182-,
379,Iowa State Univ.,IA,50011-,
380,Missouri-Univ. of   Kansas City,MO,64110-,
381,Boise State Univ.,ID,83725-,
382,Yeshiva Univ.,NY,10033,
383,Augusta State Univ.,GA,30904,
384,Alabama-Univ. of   Birmingham,AL,35233,
385,Lafayette College,PA,18042,
386,Le Moyne College,NY,13214-,
387,Randolph Macon Women's College,VA,23005-,
388,Northwest Nazarene,ID,83651-,
389,Southern Connecticut Univ.,CT,6515,
390,Mississippi-Univ. of ,MS,38677,
391,Trinity College,CT,06106-,
392,Guilford College,NC,27410-,
393,East Carolina Univ.,NC,27858-,
394,Sam Houston State Univ.,TX,77341-,
395,North Carolina-Univ. of   Asheville,NC,28804,
396,Smith College,MA,01063-,
397,Wheaton College (MA) (59),MA,02766-,
398,Denison Univ.,OH,43023-,
399,Ball State Univ.,IN,47306-,
400,Carthage College,WI,53140-,
401,Xavier Univ. of Louisiana,LA,70125-,
402,Hawaii-Univ. of   Manoa,HI,96844-,
